15:34:58.344 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.yan.http_api.controller.TestOrderController], using SpringBootContextLoader
15:34:58.355 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.yan.http_api.controller.TestOrderController]: no resource found for suffixes {-context.xml, Context.groovy}.
15:34:58.356 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.yan.http_api.controller.TestOrderController]: TestOrderController does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
15:34:58.753 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.yan.http_api.HttpApiApplication for test class com.yan.http_api.controller.TestOrderController
15:34:58.961 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
15:34:59.009 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@58fe0499, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@686449f9, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@665df3c6, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@68b6f0d6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4044fb95, org.springframework.test.context.support.DirtiesContextTestExecutionListener@aa549e5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@36f48b4, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5c00384f, org.springframework.test.context.event.EventPublishingTestExecutionListener@3b7ff809, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1bb564e2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@62e6b5c8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3f792b9b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7b8233cd, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4b20ca2b, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@1cbf6e72]
15:34:59.685 [main] INFO  c.y.h.controller.TestOrderController - Starting TestOrderController using Java 18.0.2 on DESKTOP-DM18JUN with PID 13588 (started by caiii in D:\Google Drive\Java projects\HTTP_API)
15:34:59.687 [main] INFO  c.y.h.controller.TestOrderController - No active profile set, falling back to 1 default profile: "default"
15:34:59.698 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
15:35:01.228 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
15:35:01.340 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 96 ms. Found 2 JPA repository interfaces.
